Response ID,Age Group,Gender,Education Level,PEOU1,PEOU2,PEOU3,PEOU4,PU1,PU2,PU3,PU4,SI1,SI2,SI3,SI4,FC1,FC2,FC3,FC4,TOG1,TOG2,TOG3,TOG4,ADOPT1,ADOPT2,ADOPT3,ADOPT4
1,1,1,4,2,2,3,1,4,3,3,3,3,3,3,2,3,2,2,2,3,3,3,4,2,1,1,3
2,2,1,2,3,4,3,3,2,2,3,2,4,4,3,4,4,3,4,4,1,1,3,1,3,3,3,4
3,1,1,4,1,1,3,2,3,2,1,1,3,5,4,4,5,4,5,5,2,1,3,1,3,2,3,3
4,1,1,5,2,1,1,1,4,4,3,4,3,4,3,3,4,5,5,4,1,1,2,1,4,5,5,4
5,1,1,3,3,1,2,1,5,5,4,5,5,4,5,5,4,5,5,5,2,1,1,1,3,4,5,5
6,1,1,4,3,2,1,2,3,2,2,2,3,2,2,2,2,3,1,1,2,3,2,2,2,3,1,1
7,1,1,2,1,3,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,3,3,1
8,2,1,4,4,4,4,3,4,4,4,3,4,4,3,4,2,1,1,1,3,4,4,4,3,4,3,3
9,1,1,4,2,2,3,1,2,3,1,1,3,3,3,4,5,4,3,3,4,3,3,3,3,4,4,4
10,2,1,3,1,2,1,1,1,2,1,3,1,1,1,2,4,4,3,5,1,2,1,1,1,2,1,1
11,1,1,3,2,1,1,3,1,3,2,2,1,2,1,1,3,2,1,1,3,2,2,2,2,1,3,1
12,2,1,4,4,4,5,4,5,4,4,4,4,3,4,4,5,4,4,4,1,2,2,2,3,3,4,3
13,1,1,4,2,3,2,2,3,2,1,1,4,3,2,2,3,2,2,2,2,3,2,2,1,2,2,2
14,1,1,3,4,4,4,3,4,3,4,4,3,2,3,3,4,4,3,4,3,1,2,1,1,1,2,1
15,1,1,3,4,3,3,3,3,4,4,5,3,3,4,3,4,3,4,4,1,1,2,1,2,1,3,1
16,2,1,3,4,4,4,5,4,4,4,5,2,1,3,1,3,4,5,4,1,1,2,1,3,1,2,1
17,1,1,3,5,4,3,5,4,5,4,4,4,5,3,5,3,5,4,5,3,1,2,1,1,1,2,1
18,3,1,5,2,3,1,1,3,2,1,1,3,1,2,1,3,4,5,5,3,1,2,1,1,1,2,1
19,3,1,5,3,2,1,1,3,4,4,4,2,1,3,1,4,5,5,5,3,1,2,1,2,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
